,Station,Prec.(mm),Date,LAT,LON
0,KANKASANTURAI,-,2013-01-07,9.48,80.04
1,JAFFNA,79.3,2013-01-07,9.68,80.03
2,MULLAITTIVU,-,2013-01-07,9.16,80.49
3,MANNAR,22.8,2013-01-07,8.98,79.92
4,VAVUNIYA,33.6,2013-01-07,8.75,80.5
5,TRINCOMALEE,-,2013-01-07,8.58,81.25
6,ANURADHAPURA,145.4,2013-01-07,8.35,80.38
7,MAHA ILLUPPALLAMA,58.8,2013-01-07,8.12,80.47
8,PUTTALAM,20.2,2013-01-07,8.03,79.83
9,BATTICALOA,42.4,2013-01-07,7.72,81.7
10,KURUNEGALA,65.4,2013-01-07,7.47,80.37
11,KANDY,47.0,2013-01-07,7.2,80.38
12,COLOMBO,19.3,2013-01-07,6.93,79.85
13,RATMALANA,17.7,2013-01-07,6.82,79.88
14,NUWARA ELIYA,70.4,2013-01-07,6.96,80.76
15,POTTUVIL,-,2013-01-07,6.88,81.83
16,BANDARAWELA,73.8,2013-01-07,6.82,80.99
17,BADULLA,98.3,2013-01-07,6.98,81.05
18,RATNAPURA,30.3,2013-01-07,6.68,80.4
19,GALLE,19.3,2013-01-07,6.03,80.22
20,HAMBANTOTA,23.1,2013-01-07,6.12,81.13
