mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
259,Addalaiche,20130908,36,0,259,20130908
29,Agalawatta,20130908,36,1,29,20130908
45,Akkaraipattu,20130908,36,0,45,20130908
183,Akmeemana,20130908,36,0,183,20130908
226,Akurana,20130908,36,1,226,20130908
77,Akuressa,20130908,36,0,77,20130908
44,Alaiyadivembu,20130908,36,0,44,20130908
213,Alawwa,20130908,36,0,213,20130908
90,Ambagamuwa,20130908,36,0,90,20130908
14,Ambalangoda,20130908,36,0,14,20130908
79,Ambalantota,20130908,36,1,79,20130908
132,Ambanganga,20130908,36,1,132,20130908
224,Ambanpola,20130908,36,0,224,20130908
51,Ampara,20130908,36,1,51,20130908
228,Anamaduwa,20130908,36,0,228,20130908
159,Angunakolapalessa,20130908,36,0,159,20130908
61,Anuradhapu,20130908,36,2,61,20130908
255,Arachchikattuwa,20130908,36,0,255,20130908
205,Aranayaka,20130908,36,2,205,20130908
47,Arayampathy,20130908,36,1,47,20130908
146,Attanagalla,20130908,36,2,146,20130908
6,Aturaliya,20130908,36,0,6,20130908
144,Ayagama,20130908,36,0,144,20130908
253,Badalkumbura,20130908,36,0,253,20130908
200,Baddegama,20130908,36,0,200,20130908
280,Badulla,20130908,36,3,280,20130908
240,Balangoda,20130908,36,1,240,20130908
251,Balapitiya,20130908,36,1,251,20130908
204,Bambaradeniya,20130908,36,2,204,20130908
194,Bamuna,20130908,36,0,194,20130908
2,Bandaragama,20130908,36,5,2,20130908
168,Bandarawela,20130908,36,0,168,20130908
134,Batticaloa,20130908,36,0,134,20130908
232,Beliatta,20130908,36,1,232,20130908
18,Beruwala(North),20130908,36,5,18,20130908
50,Bibile,20130908,36,0,50,20130908
199,Bingiriya,20130908,36,1,199,20130908
3,Biyagama,20130908,36,2,3,20130908
241,Bogawanthalawa,20130908,36,0,241,20130908
230,Bope-(Podd,20130908,36,1,230,20130908
298,Boralesgamuwa,20130908,36,12,298,20130908
265,Bulathkohupitiya,20130908,36,0,265,20130908
314,Bulathsinhala,20130908,36,2,314,20130908
23,Buttala,20130908,36,0,23,20130908
262,Chankanai,20130908,36,0,262,20130908
37,Chavakachcheri,20130908,36,3,37,20130908
177,Cheddikulam,20130908,36,0,177,20130908
12,Chenkaladi,20130908,36,4,12,20130908
153,Chilaw,20130908,36,3,153,20130908
49,Damana,20130908,36,0,49,20130908
180,Dambulla,20130908,36,1,180,20130908
284,Dankotuwa,20130908,36,2,284,20130908
133,Dehiattakandiya,20130908,36,0,133,20130908
71,Dehiowita,20130908,36,1,71,20130908
173,Dehiwala,20130908,36,35,173,20130908
267,Deraniyagala,20130908,36,0,267,20130908
289,Devinuwara,20130908,36,1,289,20130908
248,Dikwella,20130908,36,0,248,20130908
147,Dimbulagal,20130908,36,11,147,20130908
222,Divitura/W,20130908,36,0,222,20130908
140,Dodamgoda,20130908,36,2,140,20130908
89,Doluwa,20130908,36,2,89,20130908
216,Dompe,20130908,36,5,216,20130908
119,Duvilipitiya,20130908,36,4,119,20130908
229,Eheliyagoda,20130908,36,2,229,20130908
157,Elahera,20130908,36,5,157,20130908
143,Elapatha,20130908,36,0,143,20130908
169,Ella,20130908,36,2,169,20130908
221,Elpitiya,20130908,36,3,221,20130908
264,Embilipitiya,20130908,36,3,264,20130908
106,Eravoor,20130908,36,0,106,20130908
283,Galagedara,20130908,36,2,283,20130908
91,Galaha,20130908,36,0,91,20130908
268,Galenbindunuwewa,20130908,36,1,268,20130908
167,Galewela,20130908,36,1,167,20130908
107,Galgamuwa,20130908,36,3,107,20130908
212,Galigamuwa,20130908,36,2,212,20130908
15,Galnewa,20130908,36,1,15,20130908
189,Gampaha,20130908,36,6,189,20130908
165,Gampola(Ud,20130908,36,1,165,20130908
72,Ganewatta,20130908,36,2,72,20130908
100,Gangawatakorale,20130908,36,1,100,20130908
56,Girandurukotte,20130908,36,0,56,20130908
286,Giribawa,20130908,36,1,286,20130908
174,Godakawela,20130908,36,1,174,20130908
31,Gomarankadawala,20130908,36,0,31,20130908
43,Gonapinuwala,20130908,36,0,43,20130908
182,Habaraduwa,20130908,36,2,182,20130908
192,Hakmana,20130908,36,0,192,20130908
148,Haldummull,20130908,36,0,148,20130908
116,Hali-Ela,20130908,36,0,116,20130908
80,Hambantota,20130908,36,0,80,20130908
275,Hanguranketha,20130908,36,0,275,20130908
278,Hanwella,20130908,36,6,278,20130908
149,Haputale,20130908,36,1,149,20130908
84,Hasalaka(M,20130908,36,0,84,20130908
282,Hataraliyadda,20130908,36,0,282,20130908
42,Hikkaduwa,20130908,36,1,42,20130908
190,Hingurakgoda,20130908,36,1,190,20130908
101,Homagama,20130908,36,11,101,20130908
163,Horana,20130908,36,2,163,20130908
102,Horowpatha,20130908,36,0,102,20130908
276,Ibbagamuwa,20130908,36,0,276,20130908
76,Imaduwa,20130908,36,0,76,20130908
239,Imbulpe,20130908,36,3,239,20130908
67,Induruwa,20130908,36,1,67,20130908
292,Ingiriya,20130908,36,1,292,20130908
16,Ipalogama,20130908,36,1,16,20130908
296,Irakkamam,20130908,36,0,296,20130908
65,Ja ela,20130908,36,4,65,20130908
4,Kaduwela,20130908,36,33,4,20130908
104,Kahatagasd,20130908,36,1,104,20130908
175,Kahawaththa,20130908,36,0,175,20130908
141,Kalawana,20130908,36,1,141,20130908
260,Kalmunai,20130908,36,0,260,20130908
7,Kalpitiya,20130908,36,0,7,20130908
1,Kalutara(North),20130908,36,5,1,20130908
238,Kaluvanchikudi,20130908,36,0,238,20130908
171,Kamburupitiya,20130908,36,0,171,20130908
92,Kandaketiy,20130908,36,0,92,20130908
110,Kandavalai,20130908,36,0,110,20130908
294,Kantale,20130908,36,0,294,20130908
263,Karaitvu,20130908,36,0,263,20130908
223,Karandeniya,20130908,36,2,223,20130908
36,Karaveddy,20130908,36,1,36,20130908
9,Karuwalaga,20130908,36,0,9,20130908
105,Katana,20130908,36,4,105,20130908
234,Kataragama,20130908,36,0,234,20130908
46,Kattankudy,20130908,36,0,46,20130908
96,Katuwana,20130908,36,1,96,20130908
279,Kayts,20130908,36,1,279,20130908
103,Kebithigol,20130908,36,2,103,20130908
242,Kegalle,20130908,36,2,242,20130908
246,Kekirawa(P,20130908,36,0,246,20130908
41,Kelaniya,20130908,36,3,41,20130908
203,Kilinochchi,20130908,36,2,203,20130908
256,Kinniya,20130908,36,0,256,20130908
11,Kiran,20130908,36,1,11,20130908
293,Kiriella,20130908,36,0,293,20130908
