mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
259,ADDACHCHENAI,20130224,8,1,259,20130224
29,AGALAWATTA,20130224,8,2,29,20130224
45,AKKARAIPATTU,20130224,8,2,45,20130224
183,AKMEEMANA,20130224,8,0,183,20130224
226,AKURANA,20130224,8,1,226,20130224
77,AKURESSA,20130224,8,1,77,20130224
44,ALAYADIVEMBU,20130224,8,0,44,20130224
213,ALAWWA,20130224,8,5,213,20130224
90,AMBAGAMUWA,20130224,8,1,90,20130224
14,AMBALANGODA,20130224,8,1,14,20130224
79,AMBALANTOTA,20130224,8,2,79,20130224
132,AMBANGANGA KORALE,20130224,8,0,132,20130224
224,Ambanpola,20130224,8,3,224,20130224
51,AMPARA,20130224,8,2,51,20130224
228,Anamaduwa,20130224,8,2,228,20130224
159,ANGUNUKOLAPELES,20130224,8,0,159,20130224
61,Anuradhapura,20130224,8,8,61,20130224
255,Arachchikattuwa,20130224,8,6,255,20130224
205,ARANAYAKA,20130224,8,2,205,20130224
47,ARAYAMPATHY,20130224,8,3,47,20130224
146,ATTANAGALLA,20130224,8,8,146,20130224
6,ATHURALIYA,20130224,8,0,6,20130224
144,AYAGAMA,20130224,8,1,144,20130224
253,Badalkumbura,20130224,8,1,253,20130224
200,BADDEGAMA,20130224,8,3,200,20130224
280,Badulla,20130224,8,10,280,20130224
240,BALANGODA,20130224,8,3,240,20130224
251,BALAPITIYA,20130224,8,1,251,20130224
204,BAMBARADENIYA,20130224,8,2,204,20130224
194,Bamunukotuwa,20130224,8,3,194,20130224
2,BANDARAGAMA,20130224,8,1,2,20130224
168,Bandarawela,20130224,8,0,168,20130224
134,BATTICALOA,20130224,8,8,134,20130224
232,BELIATTA,20130224,8,0,232,20130224
18,BERUWALA,20130224,8,5,18,20130224
50,Bibila,20130224,8,0,50,20130224
199,Bingiriya,20130224,8,1,199,20130224
3,BIYAGAMA,20130224,8,7,3,20130224
241,BOGAWANTHALAWA,20130224,8,0,241,20130224
230,BOPE-PODDALA,20130224,8,1,230,20130224
298,BORALESGAMUWA,20130224,8,15,298,20130224
265,BULATHKOHUPITIYA,20130224,8,3,265,20130224
314,BULATHSINHALA,20130224,8,0,314,20130224
23,Buttala,20130224,8,2,23,20130224
262,CHANKANAI,20130224,8,0,262,20130224
37,CHAVAKACHCHERI,20130224,8,2,37,20130224
177,CHEDDIKULAM,20130224,8,0,177,20130224
12,CHENKALADY,20130224,8,1,12,20130224
153,Chilaw,20130224,8,10,153,20130224
49,DAMANA,20130224,8,4,49,20130224
180,DAMBULLA,20130224,8,1,180,20130224
284,Dankotuwa,20130224,8,2,284,20130224
133,DEHIYATHAKANDIYA,20130224,8,0,133,20130224
71,DEHIOVITA,20130224,8,3,71,20130224
173,DEHIWALA,20130224,8,29,173,20130224
267,DERANIYAGALA,20130224,8,0,267,20130224
289,DEVINUWARA,20130224,8,1,289,20130224
248,DICKWELLA,20130224,8,0,248,20130224
147,DIMBULAGALA,20130224,8,0,147,20130224
222,WELIVITIYA-DIVITHURA,20130224,8,0,222,20130224
140,Dodamgoda,20130224,8,0,140,20130224
89,DOLUWA,20130224,8,1,89,20130224
216,DOMPE,20130224,8,6,216,20130224
119,DIVULAPITIYA,20130224,8,3,119,20130224
229,EHELIYAGODA,20130224,8,1,229,20130224
