cell,mobility,dtg
1610,1.89,201301020000
1846,1.52,201301020000
1851,2.21,201301020000
1853,0.78,201301020000
1856,1.73,201301020000
1857,0.81,201301020000
2103,2.13,201301020000
2105,2.23,201301020000
2106,2.38,201301020000
2107,2.03,201301020000
2114,0.97,201301020000
2342,2.61,201301020000
2347,2.94,201301020000
2351,2.98,201301020000
2354,1.2,201301020000
2357,0.61,201301020000
2372,0.66,201301020000
2374,0.8,201301020000
2591,2.69,201301020000
2595,1.07,201301020000
2605,1.04,201301020000
2611,2.21,201301020000
2615,2.78,201301020000
2620,1.55,201301020000
2627,3.0,201301020000
2839,1.82,201301020000
2847,1.22,201301020000
3086,2.36,201301020000
3094,1.62,201301020000
3100,1.65,201301020000
3124,1.16,201301020000
3128,1.31,201301020000
3334,1.04,201301020000
3337,0.84,201301020000
3375,1.36,201301020000
3614,2.44,201301020000
3619,1.08,201301020000
3632,2.41,201301020000
3635,2.96,201301020000
3830,2.0,201301020000
3831,1.66,201301020000
3833,1.57,201301020000
3837,2.08,201301020000
3845,1.56,201301020000
3856,0.95,201301020000
3860,0.87,201301020000
3865,1.77,201301020000
4078,2.5,201301020000
4081,0.65,201301020000
4137,2.73,201301020000
4141,2.47,201301020000
4142,2.64,201301020000
4328,1.71,201301020000
4329,2.56,201301020000
4341,1.25,201301020000
4345,0.6,201301020000
4348,1.8,201301020000
4354,1.45,201301020000
4372,1.09,201301020000
4577,0.59,201301020000
4578,1.14,201301020000
4580,1.55,201301020000
4582,1.33,201301020000
4605,2.03,201301020000
4608,1.44,201301020000
4631,0.55,201301020000
4636,2.12,201301020000
4637,1.97,201301020000
4829,2.82,201301020000
4830,1.72,201301020000
4831,2.76,201301020000
4834,1.47,201301020000
4837,1.73,201301020000
4852,2.56,201301020000
4863,0.99,201301020000
4868,1.86,201301020000
4890,1.42,201301020000
4891,1.75,201301020000
5078,1.33,201301020000
5081,1.86,201301020000
5084,1.25,201301020000
5127,0.83,201301020000
5153,1.96,201301020000
5327,1.84,201301020000
5329,2.79,201301020000
5333,2.07,201301020000
5334,0.89,201301020000
5339,1.8,201301020000
5369,1.65,201301020000
5402,2.92,201301020000
5410,2.34,201301020000
5577,0.79,201301020000
5581,0.77,201301020000
5592,2.66,201301020000
5612,1.8,201301020000
5623,0.77,201301020000
5876,1.9,201301020000
5893,1.35,201301020000
5898,2.76,201301020000
6078,1.27,201301020000
6118,2.69,201301020000
6136,1.4,201301020000
6158,1.39,201301020000
6159,0.89,201301020000
6333,0.68,201301020000
6353,0.92,201301020000
6365,0.91,201301020000
6366,1.65,201301020000
6414,1.15,201301020000
6588,1.54,201301020000
6609,0.65,201301020000
6635,1.41,201301020000
6668,1.06,201301020000
6841,1.27,201301020000
6849,2.03,201301020000
6896,1.69,201301020000
6924,1.4,201301020000
6928,2.59,201301020000
6935,2.98,201301020000
6939,0.82,201301020000
7077,2.55,201301020000
7078,0.62,201301020000
7085,1.27,201301020000
7088,2.56,201301020000
7113,2.04,201301020000
7114,2.25,201301020000
7129,2.0,201301020000
7133,1.73,201301020000
7165,2.99,201301020000
7192,0.72,201301020000
7354,2.35,201301020000
7375,2.49,201301020000
7379,1.87,201301020000
7401,1.92,201301020000
7410,1.1,201301020000
7436,2.58,201301020000
7584,2.53,201301020000
7646,2.52,201301020000
7849,1.96,201301020000
7871,1.58,201301020000
7927,1.2,201301020000
7948,2.98,201301020000
8080,0.88,201301020000
8170,0.58,201301020000
8182,2.15,201301020000
8195,2.14,201301020000
8342,2.56,201301020000
8582,1.74,201301020000
8602,2.11,201301020000
8609,1.32,201301020000
8638,1.27,201301020000
8656,1.36,201301020000
8830,0.71,201301020000
8839,2.45,201301020000
8876,2.46,201301020000
8897,1.16,201301020000
8912,0.66,201301020000
8918,0.92,201301020000
8929,2.02,201301020000
8940,1.4,201301020000
8954,2.76,201301020000
9140,2.89,201301020000
9333,2.16,201301020000
9468,1.05,201301020000
9473,2.02,201301020000
9589,1.8,201301020000
9601,2.7,201301020000
9607,2.97,201301020000
9658,2.82,201301020000
9724,1.85,201301020000
9833,1.12,201301020000
10084,2.95,201301020000
10089,2.64,201301020000
10096,1.45,201301020000
10144,2.92,201301020000
10170,1.82,201301020000
10181,0.87,201301020000
10189,0.83,201301020000
10201,1.11,201301020000
10334,1.66,201301020000
10335,0.52,201301020000
10383,2.45,201301020000
10414,1.05,201301020000
10444,2.57,201301020000
10458,0.66,201301020000
10477,2.77,201301020000
10586,0.92,201301020000
10601,1.27,201301020000
10609,2.77,201301020000
10616,2.32,201301020000
10633,1.18,201301020000
10655,2.27,201301020000
10665,2.68,201301020000
10681,1.76,201301020000
10717,2.8,201301020000
10835,1.09,201301020000
10837,1.99,201301020000
10847,2.92,201301020000
10903,1.38,201301020000
10911,2.54,201301020000
10918,2.72,201301020000
10973,1.23,201301020000
11087,0.68,201301020000
11092,1.73,201301020000
11128,2.19,201301020000
11222,0.64,201301020000
11223,1.97,201301020000
11225,1.89,201301020000
11238,2.8,201301020000
11361,2.89,201301020000
11393,2.19,201301020000
11424,1.06,201301020000
11601,2.59,201301020000
11682,2.12,201301020000
11704,1.21,201301020000
11858,2.39,201301020000
11884,1.85,201301020000
11901,2.46,201301020000
11946,2.32,201301020000
11960,1.0,201301020000
11972,1.21,201301020000
12089,2.89,201301020000
12090,1.12,201301020000
12096,0.84,201301020000
12120,2.61,201301020000
12157,1.42,201301020000
12230,0.67,201301020000
12383,1.57,201301020000
12431,2.94,201301020000
12601,1.22,201301020000
12625,1.6,201301020000
12632,2.69,201301020000
12842,2.11,201301020000
12875,2.08,201301020000
12901,1.42,201301020000
12913,1.89,201301020000
12933,2.7,201301020000
12934,1.32,201301020000
12985,1.24,201301020000
13099,2.83,201301020000
13114,1.84,201301020000
13150,2.94,201301020000
13175,2.89,201301020000
13183,0.96,201301020000
13222,2.05,201301020000
13358,2.49,201301020000
13444,0.96,201301020000
13455,1.93,201301020000
13456,0.51,201301020000
13670,1.96,201301020000
13694,2.82,201301020000
13845,1.6,201301020000
13849,0.81,201301020000
14011,2.48,201301020000
14095,2.87,201301020000
14133,1.19,201301020000
14161,0.96,201301020000
14167,2.01,201301020000
14184,1.49,201301020000
14241,2.28,201301020000
14255,0.53,201301020000
14349,0.79,201301020000
14350,0.57,201301020000
14375,0.71,201301020000
14452,2.05,201301020000
14475,1.17,201301020000
14620,0.6,201301020000
14673,2.2,201301020000
14745,2.14,201301020000
14859,0.86,201301020000
14936,1.28,201301020000
14995,2.15,201301020000
15097,2.39,201301020000
15098,2.28,201301020000
15246,0.95,201301020000
15349,2.11,201301020000
15440,2.48,201301020000
15600,2.99,201301020000
15656,2.95,201301020000
15672,0.55,201301020000
15699,1.24,201301020000
15714,1.83,201301020000
15725,2.71,201301020000
15744,0.71,201301020000
15849,0.87,201301020000
15850,1.91,201301020000
15851,2.52,201301020000
15853,2.28,201301020000
15871,1.04,201301020000
16100,2.41,201301020000
16105,1.74,201301020000
16114,2.44,201301020000
16171,1.42,201301020000
16184,2.82,201301020000
16400,1.72,201301020000
16414,2.27,201301020000
16601,1.16,201301020000
16604,0.78,201301020000
16625,2.03,201301020000
16670,2.92,201301020000
16853,2.25,201301020000
16868,1.56,201301020000
16932,0.94,201301020000
17232,1.63,201301020000
17355,1.61,201301020000
17358,0.59,201301020000
17367,1.66,201301020000
17635,2.22,201301020000
17673,1.77,201301020000
17681,1.33,201301020000
17884,1.6,201301020000
17984,1.92,201301020000
18108,2.4,201301020000
18115,1.41,201301020000
18118,2.75,201301020000
18123,0.66,201301020000
18139,1.95,201301020000
18154,2.41,201301020000
18160,2.07,201301020000
18177,1.3,201301020000
18185,1.91,201301020000
18383,2.55,201301020000
18404,2.83,201301020000
18427,1.93,201301020000
18466,1.21,201301020000
18616,1.98,201301020000
