mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
0,KIRAN,20130218,7,7,KIRAN,20130218
1,ADDACHCHENAI,20130218,7,10,ADDACHCHENAI,20130218
2,AGALAWATTA,20130218,7,9,AGALAWATTA,20130218
3,AKKARAIPATTU,20130218,7,0,AKKARAIPATTU,20130218
4,AKMEEMANA,20130218,7,1,AKMEEMANA,20130218
5,AKURANA,20130218,7,10,AKURANA,20130218
6,AKURESSA,20130218,7,2,AKURESSA,20130218
7,ALAWWA,20130218,7,2,ALAWWA,20130218
8,ALAYADIVEMBU,20130218,7,1,ALAYADIVEMBU,20130218
9,AMBAGAMUWA,20130218,7,8,AMBAGAMUWA,20130218
10,AMBALANGODA,20130218,7,0,AMBALANGODA,20130218
11,AMBALANTOTA,20130218,7,6,AMBALANTOTA,20130218
12,AMBANGANGA KORALE,20130218,7,2,AMBANGANGA KORALE,20130218
13,Ambanpola,20130218,7,4,Ambanpola,20130218
14,AMPARA,20130218,7,10,AMPARA,20130218
15,Anamaduwa,20130218,7,4,Anamaduwa,20130218
16,ANGUNUKOLAPELES,20130218,7,4,ANGUNUKOLAPELES,20130218
17,Arachchikattuwa,20130218,7,8,Arachchikattuwa,20130218
18,ARANAYAKA,20130218,7,3,ARANAYAKA,20130218
19,ARAYAMPATHY,20130218,7,1,ARAYAMPATHY,20130218
20,ATHURALIYA,20130218,7,4,ATHURALIYA,20130218
21,ATTANAGALLA,20130218,7,10,ATTANAGALLA,20130218
22,AYAGAMA,20130218,7,4,AYAGAMA,20130218
23,Badalkumbura,20130218,7,4,Badalkumbura,20130218
24,BADDEGAMA,20130218,7,6,BADDEGAMA,20130218
25,Badulla,20130218,7,7,Badulla,20130218
26,BALANGODA,20130218,7,7,BALANGODA,20130218
27,BALAPITIYA,20130218,7,4,BALAPITIYA,20130218
28,BAMBARADENIYA,20130218,7,3,BAMBARADENIYA,20130218
29,Bamunukotuwa,20130218,7,0,Bamunukotuwa,20130218
30,BANDARAGAMA,20130218,7,6,BANDARAGAMA,20130218
31,Bandarawela,20130218,7,4,Bandarawela,20130218
32,BATTARAMULLA,20130218,7,10,BATTARAMULLA,20130218
33,BATTICALOA,20130218,7,9,BATTICALOA,20130218
34,BELIATTA,20130218,7,0,BELIATTA,20130218
35,BENTOTA,20130218,7,0,BENTOTA,20130218
36,BERUWALA,20130218,7,0,BERUWALA,20130218
37,Bibila,20130218,7,3,Bibila,20130218
38,Bingiriya,20130218,7,8,Bingiriya,20130218
39,BIYAGAMA,20130218,7,3,BIYAGAMA,20130218
40,BOGAWANTHALAWA,20130218,7,7,BOGAWANTHALAWA,20130218
