stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,3.4,20131010,01KG0329,20131010
01BD0545,WEWESSA ESTATE,0.0,20131010,01BD0545,20131010
01RT196A,KALAWANA MINI HYDRO,26.5,20131010,01RT196A,20131010
01PU313A,MARAWILA,0.0,20131010,01PU313A,20131010
01KG175A,IBBAGAMUWA,4.5,20131010,01KG175A,20131010
01PL0340,MINNERIYA TANK,0.0,20131010,01PL0340,20131010
01PL224A,KAUDULLA WEWA,0.0,20131010,01PL224A,20131010
01MU357A,MUTU IYANKADDU,0.0,20131010,01MU357A,20131010
01AM0459,SAGAMAM TANK,0.0,20131010,01AM0459,20131010
01JF0425,POINT PEDRO,0.0,20131010,01JF0425,20131010
01KE0544,WEWELTALAWA ESTATE,13.2,20131010,01KE0544,20131010
01CB0268,LABUGAMA TANK,9.2,20131010,01CB0268,20131010
01PL538C,WELIKANDA SINGHAPURA,0.0,20131010,01PL538C,20131010
01AN104A,EHETUGASWEWA,0.0,20131010,01AN104A,20131010
01KT0200,KALUTARA-P.W.D.,10.9,20131010,01KT0200,20131010
01AM0012,AMPARAI TANK,0.0,20131010,01AM0012,20131010
01KG0532,WARIYAPOLA EXPTL.STATION,0.0,20131010,01KG0532,20131010
01MG540A,WELLAWAYA,0.0,20131010,01MG540A,20131010
01GL0030,BADDEGAMA ESTATE,6.6,20131010,01GL0030,20131010
01KG407A,PANNALA VIRIDIYAWA EST,2.6,20131010,01KG407A,20131010
01MU0216,KANNUKKENI TANK,0.0,20131010,01MU0216,20131010
01KG469A,SIYAMBALANGAMUWA,0.0,20131010,01KG469A,20131010
01KI0183,IRANAMADU TANK,0.0,20131010,01KI0183,20131010
01AM001E,ADDALACHENAI,0.0,20131010,01AM001E,20131010
01GM0011,AMBEPUSSA GOVT FARM,15.0,20131010,01GM0011,20131010
01GL0267,LABUDUWA,0.0,20131010,01GL0267,20131010
01RT042C,BELIHULOYA,0.0,20131010,01RT042C,20131010
01PU0065,CHILAW-P.W.D,0.0,20131010,01PU0065,20131010
01AN193A,KAHATAGASDIGILIYA  W/S,0.0,20131010,01AN193A,20131010
01CB0025,AVISSAWELLA ESTATE,39.0,20131010,01CB0025,20131010
01CB0150,HANWELLA GROUP,7.0,20131010,01CB0150,20131010
01GM0373,NEGOMBO,18.5,20131010,01GM0373,20131010
01RT0435,PUSSELLA S.P.,43.1,20131010,01RT0435,20131010
01BT197B,KALKUDAH,0.0,20131010,01BT197B,20131010
01NE506B,UDARADELLA,10.0,20131010,01NE506B,20131010
01AM368B,NAVATKIRI ARU TANK,0.0,20131010,01AM368B,20131010
01RT0032,BALANGODA POST OFFICE,0.0,20131010,01RT0032,20131010
01AM493B,THIRUKKOVIL,0.0,20131010,01AM493B,20131010
01BT0357,MYLAMBAVELLY ESTATE,0.0,20131010,01BT0357,20131010
01HT481A,SURIYAWEWA,0.0,20131010,01HT481A,20131010
01MT0232,KEKENADURA (MATARA),14.7,20131010,01MT0232,20131010
01KT400C,PALLEGODA ESTATE,6.6,20131010,01KT400C,20131010
01KG014A,ANDIGAMA FARM,4.0,20131010,01KG014A,20131010
01CB166A,HOMAGAMA,0.6,20131010,01CB166A,20131010
01GM487B,THAMMITA,32.8,20131010,01GM487B,20131010
01NE0236,KENILWORTH (STRATHELLIE),23.0,20131010,01NE0236,20131010
01KG258D,KULIYAPITIYA,1.0,20131010,01KG258D,20131010
01CB469B,COLOMBO PORT,14.3,20131010,01CB469B,20131010
01KG404A,PANDUWASNUWARA,0.0,20131010,01KG404A,20131010
01CB0080,DEHIWALA ZOO,0.0,20131010,01CB0080,20131010
01KY0418,PERADENIYA BOT.GARDENS,0.0,20131010,01KY0418,20131010
01KG0452,RIDIBENDI ELA,0.0,20131010,01KG0452,20131010
01CB0026,AVISSAWELLA HOSPITAL,55.0,20131010,01CB0026,20131010
01GM0528,WALPITA,3.4,20131010,01GM0528,20131010
01CB0016,ANGODA MENTAL HOSPITAL,0.0,20131010,01CB0016,20131010
01JF062A,CHAVAKACHCHERI,0.0,20131010,01JF062A,20131010
01KT0035,BANDARAGAMA,7.1,20131010,01KT0035,20131010
01KG0256,KOULWEWA,0.0,20131010,01KG0256,20131010
01PL020A,ARALAGANWILA,0.0,20131010,01PL020A,20131010
01KT513A,USK VALLEY S.P.,3.0,20131010,01KT513A,20131010
01MG141B,HANDAPANGALA,0.0,20131010,01MG141B,20131010
01KG0253,HAKWATUNA-OYA,0.0,20131010,01KG0253,20131010
01HT0292,MAHA LEWAYA (HAMBANTOTA),2.3,20131010,01HT0292,20131010
43PPP,POLONNARUWA,0.0,20131010,43PPP,20131010
01PU0013,ANAMADUWA DISPENSARY,0.0,20131010,01PU0013,20131010
01VA414A,PAVATKULAM,0.0,20131010,01VA414A,20131010
01KE0021,ARANAYAKE GOVT. HOSPITAL,0.0,20131010,01KE0021,20131010
01ML324A,MEDAPIHILLA,0.0,20131010,01ML324A,20131010
01NE0153,HATTON KOTAGALA ROSITA,3.8,20131010,01NE0153,20131010
01KG092B,DODANGASLANDA,0.9,20131010,01KG092B,20131010
01VA0518,VAVUNIYA P.W.D.,0.0,20131010,01VA0518,20131010
01PL0427,POLONNARUWA AGRI.STATION,0.0,20131010,01PL0427,20131010
01AM459A,SAMANTHURAI,7.0,20131010,01AM459A,20131010
01RT539B,WELLANDURA TEA FACTORY,7.5,20131010,01RT539B,20131010
01KT021A,ARAMANAGOLLA,12.0,20131010,01KT021A,20131010
01AM257A,KUDASIGIRIYA,0.0,20131010,01AM257A,20131010
43418,TRINCOMALEE,0.0,20131010,43418,20131010
43421,ANURADHAPURA,0.0,20131010,43421,20131010
43413,MANNAR,0.0,20131010,43413,20131010
43467,RATMALANA,11.2,20131010,43467,20131010
43424,PUTTALAM,0.0,20131010,43424,20131010
43999,POTTUVIL,2.5,20131010,43999,20131010
43404,JAFFNA,5.0,20131010,43404,20131010
43441,KURUNEGALA,1.0,20131010,43441,20131010
43436,BATTICALOA,0.0,20131010,43436,20131010
43444,KATUGASTOTA,1.5,20131010,43444,20131010
