KANKASANTURAI,0,20130105,9.48,80.04
JAFFNA,0,20130105,9.68,80.03
MULLAITTIVU,0,20130105,9.16,80.49
MANNAR,0,20130105,8.98,79.92
VAVUNIYA,0,20130105,8.75,80.5
TRINCOMALEE,0,20130105,8.58,81.25
ANURADHAPURA,0,20130105,8.35,80.38
MAHA ILLUPPALLAMA,0,20130105,8.12,80.47
PUTTALAM,0,20130105,8.03,79.83
BATTICALOA,18.5,20130105,7.72,81.7
KURUNEGALA,0,20130105,7.47,80.37
KANDY,0,20130105,7.2,80.38
COLOMBO,0,20130105,6.93,79.85
RATMALANA,0,20130105,6.82,79.88
NUWARA ELIYA,0.5,20130105,6.96,80.76
POTTUVIL,0,20130105,6.88,81.83
BANDARAWELA,1.4,20130105,6.82,80.99
BADULLA,3.7,20130105,6.98,81.05
RATNAPURA,0.2,20130105,6.68,80.4
GALLE,0,20130105,6.03,80.22
HAMBANTOTA,0,20130105,6.12,81.13
