stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,22.9,20130112,01KG0329,20130112
01BD0545,WEWESSA ESTATE,28.5,20130112,01BD0545,20130112
01RT196A,KALAWANA MINI HYDRO,26.9,20130112,01RT196A,20130112
01PU313A,MARAWILA,21.4,20130112,01PU313A,20130112
01KG175A,IBBAGAMUWA,29.7,20130112,01KG175A,20130112
01KG0326,MEDIYAWA TANK,28.2,20130112,01KG0326,20130112
01PL0340,MINNERIYA TANK,20.0,20130112,01PL0340,20130112
01PL224A,KAUDULLA WEWA,28.3,20130112,01PL224A,20130112
01MU357A,MUTU IYANKADDU,27.1,20130112,01MU357A,20130112
01AM0459,SAGAMAM TANK,23.9,20130112,01AM0459,20130112
01JF0425,POINT PEDRO,27.6,20130112,01JF0425,20130112
01KE0544,WEWELTALAWA ESTATE,21.6,20130112,01KE0544,20130112
01CB0268,LABUGAMA TANK,28.6,20130112,01CB0268,20130112
01PL538C,WELIKANDA SINGHAPURA,29.2,20130112,01PL538C,20130112
01AN104A,EHETUGASWEWA,19.3,20130112,01AN104A,20130112
01KT0200,KALUTARA-P.W.D.,28.0,20130112,01KT0200,20130112
01AM0012,AMPARAI TANK,25.0,20130112,01AM0012,20130112
01KG0532,WARIYAPOLA EXPTL.STATION,20.8,20130112,01KG0532,20130112
01MG540A,WELLAWAYA,20.7,20130112,01MG540A,20130112
01GL0030,BADDEGAMA ESTATE,24.5,20130112,01GL0030,20130112
01KG407A,PANNALA VIRIDIYAWA EST,21.2,20130112,01KG407A,20130112
01MU0216,KANNUKKENI TANK,21.7,20130112,01MU0216,20130112
01KG469A,SIYAMBALANGAMUWA,20.4,20130112,01KG469A,20130112
01KI0183,IRANAMADU TANK,27.6,20130112,01KI0183,20130112
01AM001E,ADDALACHENAI,25.6,20130112,01AM001E,20130112
01GM0011,AMBEPUSSA GOVT FARM,22.6,20130112,01GM0011,20130112
01GL0267,LABUDUWA,28.8,20130112,01GL0267,20130112
01RT042C,BELIHULOYA,23.9,20130112,01RT042C,20130112
01AN193A,KAHATAGASDIGILIYA  W/S,20.4,20130112,01AN193A,20130112
01CB0025,AVISSAWELLA ESTATE,25.4,20130112,01CB0025,20130112
01CB0150,HANWELLA GROUP,23.1,20130112,01CB0150,20130112
01GM0373,NEGOMBO,25.2,20130112,01GM0373,20130112
01RT0435,PUSSELLA S.P.,19.0,20130112,01RT0435,20130112
01BT197B,KALKUDAH,22.6,20130112,01BT197B,20130112
01NE506B,UDARADELLA,20.8,20130112,01NE506B,20130112
01AM368B,NAVATKIRI ARU TANK,22.9,20130112,01AM368B,20130112
01RT0032,BALANGODA POST OFFICE,24.3,20130112,01RT0032,20130112
01AM493B,THIRUKKOVIL,26.4,20130112,01AM493B,20130112
01BT0357,MYLAMBAVELLY ESTATE,29.7,20130112,01BT0357,20130112
01KE009B,AMBANPITIYA ESTATE,21.5,20130112,01KE009B,20130112
01HT481A,SURIYAWEWA,28.5,20130112,01HT481A,20130112
01MT0232,KEKENADURA (MATARA),24.8,20130112,01MT0232,20130112
01KT400C,PALLEGODA ESTATE,29.4,20130112,01KT400C,20130112
01KG014A,ANDIGAMA FARM,20.3,20130112,01KG014A,20130112
01CB166A,HOMAGAMA,24.3,20130112,01CB166A,20130112
01GM487B,THAMMITA,24.2,20130112,01GM487B,20130112
01NE0236,KENILWORTH (STRATHELLIE),19.1,20130112,01NE0236,20130112
01KG258D,KULIYAPITIYA,20.9,20130112,01KG258D,20130112
01CB469B,COLOMBO PORT,25.6,20130112,01CB469B,20130112
01KG404A,PANDUWASNUWARA,29.6,20130112,01KG404A,20130112
01CB0080,DEHIWALA ZOO,26.2,20130112,01CB0080,20130112
01KY0418,PERADENIYA BOT.GARDENS,22.3,20130112,01KY0418,20130112
01KG0452,RIDIBENDI ELA,29.3,20130112,01KG0452,20130112
01CB0026,AVISSAWELLA HOSPITAL,21.4,20130112,01CB0026,20130112
01GM0528,WALPITA,19.9,20130112,01GM0528,20130112
01CB0016,ANGODA MENTAL HOSPITAL,22.2,20130112,01CB0016,20130112
01JF062A,CHAVAKACHCHERI,22.4,20130112,01JF062A,20130112
01KT0035,BANDARAGAMA,22.4,20130112,01KT0035,20130112
01KG0256,KOULWEWA,19.3,20130112,01KG0256,20130112
01PL020A,ARALAGANWILA,27.9,20130112,01PL020A,20130112
01KT513A,USK VALLEY S.P.,26.8,20130112,01KT513A,20130112
01MG141B,HANDAPANGALA,21.4,20130112,01MG141B,20130112
01KG0253,HAKWATUNA-OYA,27.7,20130112,01KG0253,20130112
01HT0292,MAHA LEWAYA (HAMBANTOTA),23.5,20130112,01HT0292,20130112
43PPP,POLONNARUWA,25.6,20130112,43PPP,20130112
01PU0013,ANAMADUWA DISPENSARY,29.3,20130112,01PU0013,20130112
01VA414A,PAVATKULAM,25.8,20130112,01VA414A,20130112
01KE0021,ARANAYAKE GOVT. HOSPITAL,28.6,20130112,01KE0021,20130112
01ML324A,MEDAPIHILLA,23.4,20130112,01ML324A,20130112
01NE0153,HATTON KOTAGALA ROSITA,22.1,20130112,01NE0153,20130112
01KG092B,DODANGASLANDA,23.5,20130112,01KG092B,20130112
01VA0518,VAVUNIYA P.W.D.,27.5,20130112,01VA0518,20130112
01PL0427,POLONNARUWA AGRI.STATION,26.5,20130112,01PL0427,20130112
01AM459A,SAMANTHURAI,24.7,20130112,01AM459A,20130112
01RT539B,WELLANDURA TEA FACTORY,25.0,20130112,01RT539B,20130112
01KT021A,ARAMANAGOLLA,25.4,20130112,01KT021A,20130112
01AM257A,KUDASIGIRIYA,27.3,20130112,01AM257A,20130112
43418,TRINCOMALEE,28.0,20130112,43418,20130112
43421,ANURADHAPURA,22.0,20130112,43421,20130112
43413,MANNAR,23.6,20130112,43413,20130112
43467,RATMALANA,19.4,20130112,43467,20130112
