stationName,stationID,LAT,LON
Ambepussa Govt. farm,01GM0011,7.28,80.1
Amparai Tank,01AM0012,7.28,81.6
Andigama farm,01KG014A,7.37,80.1
Angoda Mental Hospital,01CB0016,6.93,79.9
Anuradhapura,43421,8.35,80.3
Aralaganwila,01PL020A,7.8,81.1
Aramangolla,01KT021A,6.73,80
Aranayaka Govt. Hospital,01KE0021,7.18,80.4
Avissawella Hospital,01CB0026,6.95,80.2
Avissawella Estate,01CB0025,6.92,80.1
Balangoda post office,01RT0032,6.65,80.7
Bandarawela,143476,6.8257954,80.9980911
Batticaloa,43436,7.72,81.7
Belihuloya,01RT042C,6.72,80.7
Cinnamon Lake Side Hotel,01CB068A,6.929543,79.8492668
Dehiwala Zoo,01CB0080,6.8564765,79.8738144
Dodangaslanda,01KG092B,7.57,80.5
Ehetugaswewa,01AN104A,8.97,80.8
Embilipitiya coconut,01RT0111C,6.32,80.8
"Galphella, Wattegama",01KY0127,7.35,80.7
Hakwatuna Oya,01KG0253,7.65,80.38
Handapanagala,01MG141B,6.55,81.1
Homagama,01CB166A,6.83,80
Ibbagamuwa,01KG175A,7.52,80.4
Iranamadu tank,01KID183,9.35,80.4
Jaffna,43404,9.68,80
Kalawana,01RT196A,6.48,80.3
Kalutara-P.W.D.,01KT0200,6.5820464,79.964888
Kannukkeni tank,01MU0216,9.195255,80.1229096
Katugastota,43444,7.33,80.6
Kaudulla Wewa,01PL224A,8.13,80.9
Kekanadura (Matara),01MT0232,5.97,80.5
Kenilworth (strathellie),01NE0236,7,80.4
Kouluwewa,01KG0256,7.53,79.9
Kudasigiriya,01AM257A,7.68,81.1
Kuliyapitiya,01KG250D,7.45,80
Kurunegala,43441,7.47,80.3
Labugama tank,01CB026B,6.83,80.1
Labuduwa,01GL0267,6.07,80.2
Mannar,43413,8.98,79.9
Marawila,01PU313A,7.4234916,79.8353622
Medapeella,01ML324A,7.7,80.7
Minneriya Tank,01PL0340,8.05,80.9
"Muruthalawa, Suriyagoda",01KY356A,7.32,80.4
Muthunyankaddu,01MU157A,9.22,80.6
Navatakiri Aru Tank,01AM368B,7.47,81.7
Negombo,01GM0373,7.2077381,79.8374222
Pallegoda Estate,01KT400C,6.47,80
Pannala ... estate,01KG407A,7.33,80
Pavatkulam,01VA414A,8.68,80.4
Peradeniya Bot garden,01KY0418,7.27,80.6
Point Pedro,01JF0425,9.83,80.2
Polonnaruwa,00043PPP,7.87,81
Pottuvil,43999,6.88,81.8
Pusella s.p.,01RT0435,6.8,80.3
Puttalam,43424,8.0327197,79.8298691
Ratmalana,01CB393A,6.816591,79.8676346
Ridibendi ela,01KG0452,7.73,80.2
Samanthurai,01AM459A,7.37,81.6
Siyambalangamuwa,01KG469A,7.95,80.4
Suriyawewa,01HT481A,6.318635,81.0025024
Thirukkovil,01AM493B,7.07,81.8
Trincomalee,43418,8.58,81.2
Udaradella,01NE506B,6.97,80.8
Usk Valley S.P.,01KT513A,6.57,80.2
Vavuniya P.W.D.,01VA0518,8.75,80.5
Walpita,01GM0528,7.27,80
Wariyapola expilstation,01KG0532,7.63,80.2
Wellandura tea factory,01RT539B,6.55,80.5
Wellawaya,01MG540A,6.73,81.1
Addalachchenai,01AM001E,7.23,81.85
Ambanpitiya estate,01KE009B,7.23,80.32
Anamaduwa despensary,01PU0013,7.88,80
Baddegama estate,01GL0030,6.18,80.18
Bandaragama,01KT0035,6.72,80
Chavakachcheri,01JF062A,9.67,80.17
Chilaw – P.W.D.,01PU0065,7.58,79.78
Hanwella group,01CB0150,6.88,80.12
Hattun Rosita,01NE0153,6.92,80.6
Kahatagasdigiliya W/S,01AN193A,8.42,80.68
Kalkudah,01BT197B,7.88,81.55
"Kalutara, Vogan group",01KT524A,6.53,80.1
Mahalewaya,01HT0292,6.13,81.13
Mellawa estate,01KG0129,7.32,79.95
Mylambavelly estate,01BT0357,7.77,81.63
Panduwasnuwara,01KG404A,7.6,80.12
Polonnaruwa Agri station,01PL0427,7.92,81.03
Colombo Port,01BCB469B,6.93,79.85
Sagamam tank,01AM0459,7.13,81.8
Thammita,01GM4878,7.1,79.95
Welikanda (Singhapura),01PL0538C,8,81.22
Wewalthalawa estate,01KE0544,7.05,80.38
Wewessa estate,01BD05445,6.97,81.1
Mediyawa tank,01KG0326,7.8775769,80.2893078
