stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,1.5,20130104,01KG0329,20130104
01BD0545,WEWESSA ESTATE,23.0,20130104,01BD0545,20130104
01RT196A,KALAWANA MINI HYDRO,5.8,20130104,01RT196A,20130104
01PU313A,MARAWILA,0.0,20130104,01PU313A,20130104
01KG175A,IBBAGAMUWA,8.4,20130104,01KG175A,20130104
01KG0326,MEDIYAWA TANK,29.2,20130104,01KG0326,20130104
01PL0340,MINNERIYA TANK,5.0,20130104,01PL0340,20130104
01PL224A,KAUDULLA WEWA,0.0,20130104,01PL224A,20130104
01MU357A,MUTU IYANKADDU,0.0,20130104,01MU357A,20130104
01AM0459,SAGAMAM TANK,36.4,20130104,01AM0459,20130104
01JF0425,POINT PEDRO,0.0,20130104,01JF0425,20130104
01KE0544,WEWELTALAWA ESTATE,0.0,20130104,01KE0544,20130104
01CB0268,LABUGAMA TANK,3.0,20130104,01CB0268,20130104
01PL538C,WELIKANDA SINGHAPURA,45.5,20130104,01PL538C,20130104
01AN104A,EHETUGASWEWA,0.0,20130104,01AN104A,20130104
01KT0200,KALUTARA-P.W.D.,0.0,20130104,01KT0200,20130104
01AM0012,AMPARAI TANK,63.5,20130104,01AM0012,20130104
01KG0532,WARIYAPOLA EXPTL.STATION,1.0,20130104,01KG0532,20130104
01MG540A,WELLAWAYA,12.0,20130104,01MG540A,20130104
01GL0030,BADDEGAMA ESTATE,8.4,20130104,01GL0030,20130104
01KG407A,PANNALA VIRIDIYAWA EST,6.2,20130104,01KG407A,20130104
01MU0216,KANNUKKENI TANK,0.0,20130104,01MU0216,20130104
01KG469A,SIYAMBALANGAMUWA,0.0,20130104,01KG469A,20130104
01KI0183,IRANAMADU TANK,0.0,20130104,01KI0183,20130104
01AM001E,ADDALACHENAI,30.0,20130104,01AM001E,20130104
01GM0011,AMBEPUSSA GOVT FARM,0.9,20130104,01GM0011,20130104
01GL0267,LABUDUWA,2.0,20130104,01GL0267,20130104
01RT042C,BELIHULOYA,6.6,20130104,01RT042C,20130104
01AN193A,KAHATAGASDIGILIYA  W/S,1.0,20130104,01AN193A,20130104
01CB0025,AVISSAWELLA ESTATE,4.0,20130104,01CB0025,20130104
01CB0150,HANWELLA GROUP,0.9,20130104,01CB0150,20130104
01GM0373,NEGOMBO,0.0,20130104,01GM0373,20130104
01RT0435,PUSSELLA S.P.,3.5,20130104,01RT0435,20130104
01BT197B,KALKUDAH,24.8,20130104,01BT197B,20130104
01NE506B,UDARADELLA,5.7,20130104,01NE506B,20130104
01AM368B,NAVATKIRI ARU TANK,24.0,20130104,01AM368B,20130104
01RT0032,BALANGODA POST OFFICE,7.5,20130104,01RT0032,20130104
01AM493B,THIRUKKOVIL,56.0,20130104,01AM493B,20130104
01BT0357,MYLAMBAVELLY ESTATE,30.2,20130104,01BT0357,20130104
01KE009B,AMBANPITIYA ESTATE,10.2,20130104,01KE009B,20130104
01HT481A,SURIYAWEWA,5.6,20130104,01HT481A,20130104
01MT0232,KEKENADURA (MATARA),6.7,20130104,01MT0232,20130104
01KT400C,PALLEGODA ESTATE,4.6,20130104,01KT400C,20130104
01KG014A,ANDIGAMA FARM,1.0,20130104,01KG014A,20130104
01CB166A,HOMAGAMA,0.0,20130104,01CB166A,20130104
01GM487B,THAMMITA,1.5,20130104,01GM487B,20130104
01NE0236,KENILWORTH (STRATHELLIE),15.0,20130104,01NE0236,20130104
01KG258D,KULIYAPITIYA,0.6,20130104,01KG258D,20130104
01CB469B,COLOMBO PORT,0.0,20130104,01CB469B,20130104
01KG404A,PANDUWASNUWARA,0.3,20130104,01KG404A,20130104
01CB0080,DEHIWALA ZOO,3.1,20130104,01CB0080,20130104
01KY0418,PERADENIYA BOT.GARDENS,15.9,20130104,01KY0418,20130104
01KG0452,RIDIBENDI ELA,0.0,20130104,01KG0452,20130104
01CB0026,AVISSAWELLA HOSPITAL,2.7,20130104,01CB0026,20130104
01GM0528,WALPITA,1.0,20130104,01GM0528,20130104
