moh_id,moh,count
259,Addalaiche,0
29,Agalawatta,1
45,Akkaraipattu,3
183,Akmeemana,0
226,Akurana,2
77,Akuressa,2
44,Alaiyadivembu,0
213,Alawwa,1
90,Ambagamuwa,0
14,Ambalangoda,2
79,Ambalantota,0
132,Ambanganga,0
224,Ambanpola,1
51,Ampara,0
228,Anamaduwa,2
159,Angunakolapalessa,0
61,Anuradhapu,12
255,Arachchikattuwa,3
205,Aranayaka,1
47,Arayampathy,0
146,Attanagalla,13
6,Aturaliya,0
144,Ayagama,0
253,Badalkumbura,0
200,Baddegama,0
280,Badulla,0
240,Balangoda,2
251,Balapitiya,0
204,Bambaradeniya,1
194,Bamuna,1
2,Bandaragama,2
168,Bandarawela,0
134,Batticaloa,4
232,Beliatta,2
18,Beruwala(North),4
50,Bibile,1
199,Bingiriya,0
3,Biyagama,3
241,Bogawanthalawa,0
230,Bope-(Podd,5
298,Boralesgamuwa,4
265,Bulathkohupitiya,3
314,Bulathsinhala,0
23,Buttala,0
262,Chankanai,0
37,Chavakachcheri,9
177,Cheddikulam,0
12,Chenkaladi,0
153,Chilaw,9
49,Damana,0
180,Dambulla,2
284,Dankotuwa,3
133,Dehiattakandiya,1
71,Dehiowita,1
173,Dehiwala,38
267,Deraniyagala,1
289,Devinuwara,1
248,Dikwella,0
147,Dimbulagal,0
222,Divitura/W,0
140,Dodamgoda,0
89,Doluwa,0
216,Dompe,6
119,Duvilipitiya,3
229,Eheliyagoda,1
157,Elahera,0
143,Elapatha,0
169,Ella,1
221,Elpitiya,0
264,Embilipitiya,9
106,Eravoor,1
283,Galagedara,2
91,Galaha,0
268,Galenbindunuwewa,0
167,Galewela,2
107,Galgamuwa,3
212,Galigamuwa,5
15,Galnewa,1
189,Gampaha,5
165,Gampola(Ud,7
72,Ganewatta,1
100,Gangawatakorale,4
56,Girandurukotte,1
286,Giribawa,1
174,Godakawela,0
31,Gomarankadawala,0
43,Gonapinuwala,0
182,Habaraduwa,0
192,Hakmana,0
148,Haldummull,0
116,Hali-Ela,2
80,Hambantota,0
275,Hanguranketha,1
278,Hanwella,10
149,Haputale,0
84,Hasalaka(M,0
282,Hataraliyadda,0
42,Hikkaduwa,6
190,Hingurakgoda,1
101,Homagama,6
163,Horana,0
102,Horowpatha,0
