"moh_id","moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
259,"Addalaiche",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,1,11
29,"Agalawatta",3,0,1,1,1,0,2,2,1,3,0,1,1,0,0,0,1,1,0,2,4,0,5,10,3,3,8,5,4,2,2,5,0,0,0,0,0,0,0,1,3,2,0,0,2,0,1,3,1,4,4,1,93
45,"Akkaraipattu",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,5,1,14,38,32,71,21,30,12,8,52,295
183,"Akmeemana",0,2,3,2,2,0,0,0,0,0,1,0,1,0,0,1,1,0,2,1,0,0,2,0,1,0,1,3,3,1,1,0,1,2,0,0,1,1,2,0,2,0,4,1,0,1,0,2,0,0,1,0,46
226,"Akurana",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,1,0,3,3,2,4,1,0,2,1,1,1,1,0,1,1,1,6,3,2,0,0,6,3,2,2,2,0,4,60
77,"Akuressa",0,0,0,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,3,0,0,1,4,0,0,0,3,1,2,1,0,0,2,2,2,1,1,0,3,2,0,0,0,1,0,1,0,0,2,0,0,0,39
44,"Alaiyadivembu",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,5,4,3,2,5,39
213,"Alawwa",4,3,1,2,3,3,1,2,2,3,2,0,0,2,3,1,2,1,0,2,0,2,7,2,6,10,11,17,8,16,7,4,16,5,2,5,2,8,9,2,0,3,4,1,3,3,5,6,2,5,5,5,218
90,"Ambagamuwa",1,5,0,2,0,0,1,1,1,1,0,2,1,0,0,2,1,1,0,4,1,1,1,1,2,8,0,2,3,4,1,0,2,5,1,0,2,0,1,1,1,1,0,0,1,0,2,0,2,0,0,2,68
14,"Ambalangoda",1,3,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,3,3,0,4,1,0,2,2,2,2,1,0,3,0,2,7,4,14,0,16,7,18,1,6,3,0,118
79,"Ambalantota",3,0,0,2,0,0,1,1,2,1,0,2,2,9,1,0,4,0,2,1,0,1,0,2,0,0,1,4,1,3,0,1,1,0,1,2,0,0,0,0,1,1,2,4,0,1,0,0,0,0,0,0,57
132,"Ambanganga",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,1,0,1,1,0,2,0,0,13
224,"Ambanpola",2,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,2,2,0,0,0,20
51,"Ampara",0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,1,4,0,1,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0,1,31
228,"Anamaduwa",1,0,1,2,0,1,0,5,0,1,0,1,1,0,0,1,2,0,0,1,1,1,0,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,1,0,1,3,38
159,"Angunakolapalessa",0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,1,3,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,2,7,0,0,37
61,"Anuradhapu",0,1,3,0,1,1,1,2,1,0,1,2,0,0,0,0,2,0,2,0,0,1,0,2,1,3,2,0,3,5,3,0,3,1,1,0,2,0,1,0,0,0,1,4,2,0,1,1,0,1,5,2,62
255,"Arachchikattuwa",1,0,0,6,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,3,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,3,0,0,2,0,1,0,1,39
205,"Aranayaka",3,1,1,2,3,0,0,1,0,1,0,0,2,1,0,0,3,0,1,5,5,4,4,6,12,2,3,0,4,6,2,0,6,2,2,0,2,0,3,3,0,0,4,3,8,5,4,2,6,2,9,0,133
47,"Arayampathy",0,1,0,0,0,5,0,1,1,1,2,2,1,1,1,3,0,1,1,0,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,2,2,0,40
146,"Attanagalla",8,16,6,15,2,5,10,9,5,4,3,1,4,4,14,2,6,17,16,40,33,36,28,46,20,23,15,21,21,18,4,13,16,2,19,8,15,3,2,10,5,17,2,14,3,13,10,2,9,13,12,13,653
6,"Aturaliya",0,0,2,1,1,1,0,2,0,1,0,0,0,1,3,0,0,1,0,1,1,2,0,4,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,5,2,39
144,"Ayagama",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,0,3,2,1,1,1,0,2,2,0,3,2,4,1,1,0,1,0,2,1,1,1,0,0,0,0,2,0,0,1,40
253,"Badalkumbura",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,20
200,"Baddegama",4,1,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,2,2,2,2,6,2,3,5,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,51
280,"Badulla",3,2,1,0,3,0,2,5,1,6,1,3,0,0,0,0,0,3,1,0,3,3,3,1,7,1,3,3,1,8,5,2,5,4,4,2,9,6,14,10,10,15,13,19,22,55,19,37,41,47,32,36,471
240,"Balangoda",5,1,1,6,3,3,3,0,1,1,8,2,6,0,3,0,1,1,0,1,1,1,5,8,11,6,2,8,1,2,3,2,0,0,1,0,2,2,0,1,0,4,2,0,3,3,3,1,1,0,0,0,119
251,"Balapitiya",0,2,2,4,0,3,0,0,3,4,2,0,0,1,1,0,1,2,0,0,0,1,0,1,1,0,0,1,4,2,1,3,3,0,4,2,1,2,2,2,2,1,3,4,1,1,1,5,3,4,4,5,89
204,"Bambaradeniya",0,4,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,1,1,2,3,4,2,8,2,0,1,0,1,3,0,3,0,1,2,0,3,9,4,3,1,3,2,5,79
194,"Bamuna",0,1,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,5,1,0,1,5,0,2,2,0,2,0,0,2,1,1,1,0,1,1,2,1,3,0,5,1,0,2,0,49
2,"Bandaragama",3,0,7,6,9,8,4,0,3,6,3,4,2,4,6,1,1,1,2,2,5,5,8,11,5,6,9,2,8,4,2,1,2,5,2,3,3,2,3,3,2,3,0,0,4,4,6,2,7,6,6,4,205
