moh_id,moh,dengue_count,Mobility,Percipitation,Temp,Vegitation
259,Addalaiche,0,,,,
29,Agalawatta,0,,,,
45,Akkaraipattu,1,,,,
183,Akmeemana,0,,,,
226,Akurana,4,,,,
77,Akuressa,1,,,,
44,Alaiyadivembu,1,,,,
213,Alawwa,5,,,,
90,Ambagamuwa,0,,,,
14,Ambalangoda,4,,,,
79,Ambalantota,2,,,,
132,Ambanganga,0,,,,
224,Ambanpola,1,,,,
51,Ampara,1,,,,
228,Anamaduwa,1,,,,
159,Angunakolapalessa,1,,,,
61,Anuradhapu,3,,,,
255,Arachchikattuwa,0,,,,
205,Aranayaka,9,,,,
47,Arayampathy,2,,,,
146,Attanagalla,19,,,,
6,Aturaliya,0,,,,
144,Ayagama,1,,,,
253,Badalkumbura,0,,,,
200,Baddegama,0,,,,
280,Badulla,0,,,,
240,Balangoda,0,,,,
251,Balapitiya,1,,,,
204,Bambaradeniya,0,,,,
194,Bamuna,8,,,,
2,Bandaragama,0,,,,
168,Bandarawela,1,,,,
134,Batticaloa,0,,,,
232,Beliatta,0,,,,
18,Beruwala(North),5,,,,
50,Bibile,1,,,,
199,Bingiriya,1,,,,
3,Biyagama,3,,,,
241,Bogawanthalawa,0,,,,
230,Bope-(Podd,0,,,,
298,Boralesgamuwa,6,,,,
265,Bulathkohupitiya,1,,,,
314,Bulathsinhala,0,,,,
23,Buttala,0,,,,
262,Chankanai,2,,,,
37,Chavakachcheri,6,,,,
177,Cheddikulam,0,,,,
12,Chenkaladi,0,,,,
153,Chilaw,24,,,,
49,Damana,1,,,,
180,Dambulla,0,,,,
284,Dankotuwa,5,,,,
133,Dehiattakandiya,1,,,,
71,Dehiowita,1,,,,
173,Dehiwala,12,,,,
267,Deraniyagala,3,,,,
289,Devinuwara,0,,,,
248,Dikwella,0,,,,
147,Dimbulagal,0,,,,
222,Divitura/W,0,,,,
140,Dodamgoda,2,,,,
89,Doluwa,0,,,,
216,Dompe,9,,,,
119,Duvilipitiya,24,,,,
229,Eheliyagoda,2,,,,
157,Elahera,1,,,,
143,Elapatha,5,,,,
169,Ella,0,,,,
221,Elpitiya,0,,,,
264,Embilipitiya,7,,,,
106,Eravoor,3,,,,
283,Galagedara,0,,,,
91,Galaha,0,,,,
268,Galenbindunuwewa,2,,,,
167,Galewela,5,,,,
107,Galgamuwa,1,,,,
212,Galigamuwa,4,,,,
15,Galnewa,0,,,,
189,Gampaha,6,,,,
165,Gampola(Ud,0,,,,
72,Ganewatta,5,,,,
100,Gangawatakorale,3,,,,
56,Girandurukotte,0,,,,
286,Giribawa,0,,,,
174,Godakawela,3,,,,
31,Gomarankadawala,0,,,,
43,Gonapinuwala,0,,,,
182,Habaraduwa,0,,,,
192,Hakmana,0,,,,
148,Haldummull,0,,,,
116,Hali-Ela,0,,,,
80,Hambantota,2,,,,
275,Hanguranketha,0,,,,
278,Hanwella,9,,,,
149,Haputale,0,,,,
84,Hasalaka(M,0,,,,
282,Hataraliyadda,0,,,,
42,Hikkaduwa,1,,,,
190,Hingurakgoda,1,,,,
101,Homagama,6,,,,
163,Horana,1,,,,
102,Horowpatha,0,,,,
276,Ibbagamuwa,9,,,,
76,Imaduwa,0,,,,
239,Imbulpe,2,,,,
67,Induruwa,0,,,,
292,Ingiriya,2,,,,
16,Ipalogama,1,,,,
