,cell,resident,work,LATITUDE,LONGITUDE,Date
0,1610,3805.0,494,5.9336952944000005,80.596243648,2013-01-01
1,1846,3918.0,561,5.9426784064,80.461496968,2013-01-01
2,1851,2513.0,534,5.9426784064,80.506412528,2013-01-01
3,1853,989.0,227,5.9426784064,80.524378752,2013-01-01
4,1856,1739.0,2440,5.9426784064,80.551328088,2013-01-01
5,1857,3561.0,1118,5.9426784064,80.5603112,2013-01-01
6,2103,1909.0,447,5.9516615184,80.51539564,2013-01-01
7,2105,2805.0,1146,5.9516615184,80.533361864,2013-01-01
8,2106,3838.0,4141,5.9516615184,80.54234497600001,2013-01-01
9,2107,163.0,89,5.9516615184,80.551328088,2013-01-01
10,2114,3680.0,452,5.9516615184,80.614209872,2013-01-01
11,2342,3006.0,402,5.9606446304,80.407598296,2013-01-01
12,2347,2518.0,389,5.9606446304,80.45251385600001,2013-01-01
13,2351,1488.0,230,5.9606446304,80.48844630399999,2013-01-01
14,2354,994.0,180,5.9606446304,80.51539564,2013-01-01
15,2357,3862.0,839,5.9606446304,80.54234497600001,2013-01-01
16,2372,2131.0,520,5.9606446304,80.677091656,2013-01-01
17,2374,672.0,413,5.9606446304,80.69505788,2013-01-01
18,2591,4002.0,395,5.9696277424,80.389632072,2013-01-01
19,2595,10122.0,2253,5.9696277424,80.42556452,2013-01-01
20,2605,1350.0,210,5.9696277424,80.51539564,2013-01-01
21,2611,998.0,222,5.9696277424,80.569294312,2013-01-01
22,2615,5025.0,716,5.9696277424,80.60522676,2013-01-01
23,2620,2121.0,299,5.9696277424,80.65014232,2013-01-01
24,2627,3801.0,516,5.9696277424,80.713024104,2013-01-01
25,2839,5264.0,644,5.9786108544,80.36268273600001,2013-01-01
26,2847,943.0,216,5.9786108544,80.434547632,2013-01-01
27,3086,4316.0,5268,5.9875939663999995,80.326750288,2013-01-01
28,3094,2564.0,619,5.9875939663999995,80.398615184,2013-01-01
29,3100,3618.0,545,5.9875939663999995,80.45251385600001,2013-01-01
30,3124,72.0,15,5.9875939663999995,80.66810854399999,2013-01-01
31,3128,2233.0,301,5.9875939663999995,80.704040992,2013-01-01
32,3334,3919.0,933,5.9965770784000005,80.299800952,2013-01-01
33,3337,187.0,362,5.9965770784000005,80.326750288,2013-01-01
34,3375,1402.0,175,5.9965770784000005,80.66810854399999,2013-01-01
35,3614,2076.0,422,6.0055601904,80.5603112,2013-01-01
36,3619,1142.0,249,6.0055601904,80.60522676,2013-01-01
37,3632,1901.0,209,6.0055601904,80.72200721600001,2013-01-01
38,3635,2222.0,233,6.0055601904,80.748956552,2013-01-01
39,3830,2.0,10,6.0145433024,80.24590228,2013-01-01
40,3831,6355.0,1421,6.0145433024,80.25488539199999,2013-01-01
41,3833,3615.0,618,6.0145433024,80.272851616,2013-01-01
