,Station,Date ∇,Ave. T.(ºC),Max. T.(ºC),Min. T.(ºC),Prec.(mm),S.L.Press./Gheopot.,Wind dir,Wind sp.(Km/h),Cloud c.,Snow depth(cm),country
0,KANKASANTURAI,01/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
1,JAFFNA,01/01/2013,26.6,30.2,23.0,0.0,1011.2 Hpa,-,-,6/8,,SRI LANKA
2,MULLAITTIVU,01/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3,MANNAR,01/01/2013,27.6,29.9,25.2,0.0,1010.6 Hpa,44º(NE),11,3/8,,SRI LANKA
4,VAVUNIYA,01/01/2013,25.8,30.9,20.6,0.0,1010.8 Hpa,42º(NE),3,5/8,,SRI LANKA
5,TRINCOMALEE,01/01/2013,27.0,29.5,24.5,1.9,-,36º(NE),5,7/8,,SRI LANKA
6,ANURADHAPURA,01/01/2013,26.9,30.4,23.5,0.0,1010.5 Hpa,290º(W),2,6/8,,SRI LANKA
7,MAHA ILLUPPALLAMA,01/01/2013,26.6,30.1,23.0,0.0,1010.3 Hpa,41º(NE),8,5/8,,SRI LANKA
8,PUTTALAM,01/01/2013,27.6,31.6,23.5,0.0,-,17º(N),2,5/8,,SRI LANKA
9,BATTICALOA,01/01/2013,27.3,29.3,25.3,Tr,1009.9 Hpa,350º(N),8,7/8,,SRI LANKA
10,KURUNEGALA,01/01/2013,27.0,31.4,22.6,0.0,1009.0 Hpa,31º(NE),4,6/8,,SRI LANKA
11,KANDY,01/01/2013,24.0,28.0,20.0,Tr,1010.1 Hpa,70º(E),1,7/8,,SRI LANKA
12,COLOMBO,01/01/2013,28.5,32.6,24.4,0.0,1009.2 Hpa,28º(NE),5,5/8,,SRI LANKA
13,RATMALANA,01/01/2013,28.9,33.2,24.5,0.0,1009.2 Hpa,22º(N),8,5/8,,SRI LANKA
14,NUWARA ELIYA,01/01/2013,16.5,20.9,12.1,0.0,1492 m(850 Hpa),90º(E),2,5/8,,SRI LANKA
15,POTTUVIL,01/01/2013,27.7,30.4,25.0,-,1009.3 Hpa,2º(N),5,8/8,,SRI LANKA
16,BANDARAWELA,01/01/2013,18.7,21.9,15.5,0.0,1516 m(850 Hpa),310º(NW),7,7/8,,SRI LANKA
17,BADULLA,01/01/2013,21.1,24.7,17.6,0.1,-,47º(NE),3,8/8,,SRI LANKA
18,RATNAPURA,01/01/2013,27.5,32.0,23.0,0.0,1009.4 Hpa,341º(N),1,7/8,,SRI LANKA
19,GALLE,01/01/2013,27.3,29.8,24.8,0.0,1010.2 Hpa,135º(SE),7,7/8,,SRI LANKA
20,HAMBANTOTA,01/01/2013,27.8,31.3,24.3,0.0,1008.9 Hpa,2º(N),4,7/8,,SRI LANKA
21,KANKASANTURAI,02/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
22,JAFFNA,02/01/2013,25.8,29.7,21.9,0.0,1011.8 Hpa,-,-,6/8,,SRI LANKA
23,MULLAITTIVU,02/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
24,MANNAR,02/01/2013,27.2,29.1,25.4,0.0,1011.6 Hpa,38º(NE),10,4/8,,SRI LANKA
25,VAVUNIYA,02/01/2013,26.6,30.4,22.9,0.0,1011.7 Hpa,24º(NE),2,5/8,,SRI LANKA
26,TRINCOMALEE,02/01/2013,27.1,29.0,25.1,38.4,-,146º(SE),3,8/8,,SRI LANKA
27,ANURADHAPURA,02/01/2013,26.9,30.0,23.8,0.0,1011.7 Hpa,315º(NW),2,6/8,,SRI LANKA
28,MAHA ILLUPPALLAMA,02/01/2013,26.3,29.5,23.1,Tr,1011.2 Hpa,42º(NE),7,6/8,,SRI LANKA
29,PUTTALAM,02/01/2013,26.4,29.5,23.3,0.0,1010.8 Hpa,354º(N),3,5/8,,SRI LANKA
30,BATTICALOA,02/01/2013,27.9,29.2,26.6,30.5,1011.0 Hpa,360º(N),3,7/8,,SRI LANKA
31,KURUNEGALA,02/01/2013,27.1,31.0,23.1,Tr,1010.2 Hpa,0º(N),3,6/8,,SRI LANKA
32,KANDY,02/01/2013,24.6,28.3,20.8,3.3,1011.0 Hpa,45º(NE),1,6/8,,SRI LANKA
33,COLOMBO,02/01/2013,27.6,31.2,24.0,0.0,1010.4 Hpa,4º(N),4,5/8,,SRI LANKA
34,RATMALANA,02/01/2013,28.3,32.3,24.3,0.0,1010.6 Hpa,13º(N),10,4/8,,SRI LANKA
35,NUWARA ELIYA,02/01/2013,16.8,21.2,12.3,3.7,1500 m(850 Hpa),90º(E),2,5/8,,SRI LANKA
36,POTTUVIL,02/01/2013,27.4,29.8,25.0,-,1010.3 Hpa,340º(N),3,8/8,,SRI LANKA
37,BANDARAWELA,02/01/2013,20.1,24.0,16.2,4.9,1526 m(850 Hpa),317º(NW),5,7/8,,SRI LANKA
38,BADULLA,02/01/2013,21.6,24.8,18.5,7.3,-,70º(E),2,8/8,,SRI LANKA
39,RATNAPURA,02/01/2013,28.1,32.3,24.0,0.2,1010.3 Hpa,213º(SW),2,5/8,,SRI LANKA
40,GALLE,02/01/2013,27.4,30.0,24.7,0.0,1011.2 Hpa,24º(NE),7,7/8,,SRI LANKA
41,HAMBANTOTA,02/01/2013,28.3,31.8,24.8,Tr,1010.1 Hpa,26º(NE),6,6/8,,SRI LANKA
42,KANKASANTURAI,03/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
43,JAFFNA,03/01/2013,26.2,28.9,23.6,0.0,1012.4 Hpa,-,-,8/8,,SRI LANKA
44,MULLAITTIVU,03/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
45,MANNAR,03/01/2013,25.6,28.1,23.0,0.0,1012.0 Hpa,38º(NE),4,7/8,,SRI LANKA
