moh_id,moh,lat,long,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
23,Buttala,6.757091,81.240657,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1,0,0,1,0,0,1,0,0,0,20
262,Chankanai,9.748264,79.969401,2,0,0,0,0,1,0,0,1,1,0,0,1,3,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,2,5,0,28
37,Chavakachcheri,9.6590692,80.1316927,6,9,2,3,4,1,0,2,1,2,0,0,8,0,0,9,3,5,4,0,1,0,1,0,2,2,0,0,1,0,2,3,2,1,0,3,0,1,1,0,0,1,0,0,2,2,0,2,4,3,2,13,108
177,Cheddikulam,8.6655956,80.2962385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8
12,Chenkaladi,7.7858571,81.5898016,0,0,0,2,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,1,2,2,2,0,1,4,0,0,0,3,3,1,1,1,1,0,2,0,1,0,0,1,42
153,Chilaw,7.570904,79.795206,24,9,4,9,22,2,24,10,6,1,3,4,0,2,5,1,7,3,5,8,1,0,0,5,3,5,2,2,2,0,3,7,9,5,4,3,3,0,2,2,2,0,2,3,2,5,2,1,0,4,2,7,237
49,Damana,7.2012207,81.65693,1,0,0,2,0,0,0,4,0,3,1,0,3,0,1,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,1,0,1,3,0,0,0,2,2,0,0,1,36
180,Dambulla,7.8917,80.7026,0,2,2,0,1,1,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,23
284,Dankotuwa,7.293846,79.886814,5,3,6,3,4,3,1,2,1,2,1,1,0,1,2,1,0,3,1,0,0,1,1,2,2,3,2,1,0,1,0,3,4,0,2,2,3,0,0,1,2,0,1,1,2,3,2,3,3,4,3,1,93
133,Dehiattakandiya,7.6712796,81.046484,1,1,2,3,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,6,2,2,4,1,2,1,1,0,2,3,0,0,0,3,1,1,2,6,1,0,5,3,2,5,73
71,Dehiowita,6.964671,80.264139,1,1,2,2,2,1,1,3,1,0,0,0,2,4,2,0,2,0,3,1,3,1,1,0,3,2,6,2,0,1,1,5,0,1,0,1,0,1,0,0,2,0,1,1,0,3,0,0,0,2,1,3,69
173,Dehiwala,6.8301,79.88,12,38,34,40,25,41,2,29,25,26,21,28,11,22,11,11,10,19,27,23,22,17,22,34,30,33,31,53,49,40,40,26,43,44,25,35,23,15,16,18,8,16,19,16,27,35,34,36,63,8,57,53,1443
